Product,Quantity,Season
Yogurt,306,Winter
Toothpaste,286,Winter
Bread,107,Winter
Watermelon,453,Winter
Cleaner,347,Winter
Sugar,437,Winter
Cheese,384,Winter
Butter,75,Winter
Napkins,139,Winter
Lemon,396,Winter
Ice Cream,433,Winter
Wine,444,Winter
Plastic Wrap,212,Winter
Conditioner,344,Winter
Ketchup,286,Winter
Detergent,213,Winter
Shrimp,469,Winter
Lettuce,276,Winter
Avocado,435,Winter
Tomato,256,Winter
Shampoo,394,Winter
Popcorn,209,Winter
Tea,309,Winter
Shaving Cream,157,Winter
Mayo,381,Winter
Whiskey,479,Winter
Paper Towels,312,Winter
Blueberry,233,Winter
Banana,373,Winter
Apple,304,Winter
Ketchup,420,Spring
Cleaner,134,Spring
Pear,498,Spring
Mango,172,Spring
Bleach,375,Spring
Tequila,424,Spring
Ginger,153,Spring
Chocolate,260,Spring
Napkins,217,Spring
Mushrooms,383,Spring
Orange,318,Spring
Butter,210,Spring
Paper Towels,60,Spring
Beef,76,Spring
Toothbrush,155,Spring
Chips,197,Spring
Shampoo,284,Spring
Salt,357,Spring
Juice,142,Spring
Peppers,313,Spring
Watermelon,275,Spring
Rice,410,Spring
Pineapple,465,Spring
Rum,145,Spring
Toothpaste,338,Spring
Sunscreen,119,Spring
Avocado,306,Spring
Sponge,370,Spring
Vinegar,478,Spring
Flour,68,Spring
Chips,262,Summer
Tequila,349,Summer
Toilet Paper,241,Summer
Bleach,159,Summer
Mustard,147,Summer
Pie,490,Summer
Razor,331,Summer
Toothbrush,246,Summer
Noodles,209,Summer
Shampoo,123,Summer
Tea,251,Summer
Strawberry,411,Summer
Rice,59,Summer
Shrimp,441,Summer
Eggs,343,Summer
Cauliflower,222,Summer
Ice Cream,322,Summer
Mango,233,Summer
Sunscreen,74,Summer
Wine,88,Summer
Pretzels,291,Summer
Salsa,211,Summer
Soap,289,Summer
Trash Bags,445,Summer
Pepper,348,Summer
Beef,406,Summer
Spinach,132,Summer
Broom,393,Summer
Oil,174,Summer
Garlic,93,Summer
Shrimp,110,Autumn
Carrot,226,Autumn
Cheese,451,Autumn
Fish,93,Autumn
Strawberry,276,Autumn
Cleaner,230,Autumn
Chicken,275,Autumn
Sponge,196,Autumn
Mayo,283,Autumn
Cucumber,215,Autumn
Ketchup,304,Autumn
Conditioner,351,Autumn
Vodka,438,Autumn
Wine,365,Autumn
Flour,99,Autumn
Popcorn,187,Autumn
Pie,84,Autumn
Water,491,Autumn
Onion,273,Autumn
Watermelon,424,Autumn
Mustard,318,Autumn
Bleach,312,Autumn
Pretzels,172,Autumn
Juice,54,Autumn
Noodles,301,Autumn
Foil,324,Autumn
Rum,410,Autumn
Toothbrush,282,Autumn
Eggs,289,Autumn
Apple,158,Autumn
